Pathway,1_BALBc0NI,2_BALBc3DPI,3_BALBc7DPI,3_BALBc10DPI,4_BALBc13DPI,5_BALBc16DPI
PWY-7219: adenosine ribonucleotides de novo biosynthesis,6909.896559,3250.016711,5371.892291,3732.67334,4080.473284,4549.195469
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified,3099.81787,2326.717356,3796.77235,2536.774333,2774.160358,3694.355274
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lactobacillus.s__Lactobacillus_johnsonii,1121.921713,174.7081671,451.0745659,63.24192924,69.80831303,19.85503403
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila,255.3205144,55.59224172,116.0959427,112.6008419,79.51733005,285.9325237
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,93.46199808,182.146904,200.7134396,64.22700819,71.55071272,51.57334871
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Oscillibacter.s__Oscillibacter_sp_1_3,44.96442809,37.79385244,62.42540743,61.3939525,65.54793769,76.01811957
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Acetatifactor.s__Acetatifactor_muris,21.02344969,19.58026834,69.32983581,30.38706282,41.80747373,35.77857603
TRNA-CHARGING-PWY: tRNA charging,6143.600162,2627.938453,4289.887037,3124.139593,3459.708065,4025.97931
TRNA-CHARGING-PWY: tRNA charging|unclassified,3045.068661,1874.816882,3051.21736,2118.569662,2358.960151,3157.628632
TRNA-CHARGING-PWY: tRNA charging|g__Oscillibacter.s__Oscillibacter_sp_1_3,68.43812753,62.33460805,82.47183569,69.58259005,83.2121217,111.0327464
PWY-5686: UMP biosynthesis I,6121.248831,2727.181717,4360.132996,3089.618262,3391.078358,4018.852906
PWY-5686: UMP biosynthesis I|unclassified,2701.188533,1955.828726,3012.598993,2054.051684,2245.829621,3229.279252
PWY-5686: UMP biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila,295.301943,43.92245375,131.9602175,83.12308404,78.1995722,268.9454308
PWY-5686: UMP biosynthesis I|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,76.19652,176.2752113,172.9948775,45.92360302,51.38985634,42.59192695
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis,5815.657743,2486.707311,4167.289651,2444.525061,2630.819351,2934.994677
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified,2566.95888,1796.893392,3097.244312,1881.352167,2153.878363,2542.514823
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila,203.282844,28.73260298,72.33950248,51.68027497,54.02834736,169.0816272
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4,97.82497324,186.1327298,201.7566568,92.60313091,52.56454847,51.70088593
PWY-3841: folate transformations II (plants),5580.420229,2230.471736,3611.756942,2412.921512,2846.720117,2919.763125
PWY-3841: folate transformations II (plants)|unclassified,2506.35497,1479.908163,2299.599415,1417.89595,1719.431613,2216.247928
PWY-3841: folate transformations II (plants)|g__Akkermansia.s__Akkermansia_muciniphila,242.2652736,42.43157055,93.42322148,73.87816258,71.09243394,231.9487534
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),5167.165768,3360.820226,5194.948097,3913.342559,4283.524581,4851.789361
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified,2355.537482,2393.138278,3967.709586,2584.925051,2911.375621,3625.71747
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Akkermansia.s__Akkermansia_muciniphila,246.328284,43.69681426,91.51797507,74.42029535,80.66484693,249.0076407
