feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X2.7.3.9.RXN...expasy..Phosphoenolpyruvate..protein.phosphotransferase..2.7.3.9..g__Acutalibacter.s__Acutalibacter_muris	Condition	[T.Infected]	-1	0	6	1	0	0
X6PFRUCTPHOS.RXN...expasy..6.phosphofructokinase..2.7.1.11..g__Romboutsia.s__Romboutsia_ilealis	Condition	[T.Infected]	-1	0	6	1	0	0
ACSERLY.RXN...expasy..Cysteine.synthase..2.5.1.47..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	0	6	1	0	0
ADENYL.KIN.RXN...expasy..Adenylate.kinase..2.7.4.3..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	0	6	1	0	0
ALANINE..TRNA.LIGASE.RXN...expasy..Alanine..tRNA.ligase..6.1.1.7..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	0	6	1	0	0
AMYLOMALT.RXN...expasy..4.alpha.glucanotransferase..2.4.1.25..g__Dorea.s__Dorea_sp_5_2	Condition	[T.Infected]	-1	0	6	1	0	0
BIOTINLIG.RXN...expasy..Biotin...biotin.carboxyl.carrier.protein..ligase..6.3.4.15..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	0	6	1	0	0
DIAMINOPIMEPIM.RXN...expasy..Diaminopimelate.epimerase..5.1.1.7..g__Romboutsia.s__Romboutsia_ilealis	Condition	[T.Infected]	-1	0	6	1	0	0
DIHYDROOROT.RXN...expasy..Dihydroorotase..3.5.2.3..g__Clostridium.s__Clostridium_sp_ASF502	Condition	[T.Infected]	-1	0	6	1	0	0
DTMPKI.RXN...expasy..AMBIGUOUS..2.7.4.12..2.7.4.13..2.7.4.9..g__Enterorhabdus.s__Enterorhabdus_caecimuris	Condition	[T.Infected]	-1	0	6	1	0	0
ENTDB.RXN...expasy..Holo..acyl.carrier.protein..synthase..2.7.8.7..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	0	6	1	0	0
GLUC1PADENYLTRANS.RXN...expasy..Glucose.1.phosphate.adenylyltransferase..2.7.7.27..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	0	6	1	0	0
GLURS.RXN...expasy..Glutamate..tRNA.ligase..6.1.1.17..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	Condition	[T.Infected]	-1	0	6	1	0	0
GLURS.RXN...expasy..Glutamate..tRNA.ligase..6.1.1.17..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	0	6	1	0	0
GLUTAMATE.N.ACETYLTRANSFERASE.RXN...expasy..Glutamate.N.acetyltransferase..2.3.1.35..g__Sphingomonas.s__Sphingomonas_sp_FARSPH	Condition	[T.Infected]	-1	0	6	1	0	0
GLUTDECARBOX.RXN...expasy..Glutamate.decarboxylase..4.1.1.15..g__Enterorhabdus.s__Enterorhabdus_caecimuris	Condition	[T.Infected]	-1	0	6	1	0	0
GLYOHMETRANS.RXN...expasy..Glycine.hydroxymethyltransferase..2.1.2.1..g__Dorea.s__Dorea_sp_5_2	Condition	[T.Infected]	-1	0	6	1	0	0
GMP.REDUCT.RXN...expasy..GMP.reductase..1.7.1.7..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	0	6	1	0	0
GSAAMINOTRANS.RXN...expasy..Glutamate.1.semialdehyde.2.1.aminomutase..5.4.3.8..g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	Condition	[T.Infected]	-1	0	6	1	0	0
HISTIDPHOS.RXN...expasy..Histidinol.phosphatase..3.1.3.15..g__Romboutsia.s__Romboutsia_ilealis	Condition	[T.Infected]	-1	0	6	1	0	0
HOLO.ACP.SYNTH.RXN...expasy..Holo..acyl.carrier.protein..synthase..2.7.8.7..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	0	6	1	0	0
N.ACETYLTRANSFER.RXN...expasy..Amino.acid.N.acetyltransferase..2.3.1.1..g__Sphingomonas.s__Sphingomonas_sp_FARSPH	Condition	[T.Infected]	-1	0	6	1	0	0
PANTEPADENYLYLTRAN.RXN...expasy..Pantetheine.phosphate.adenylyltransferase..2.7.7.3..g__Parasutterella.s__Parasutterella_excrementihominis	Condition	[T.Infected]	-1	0	6	1	0	0
