"name"	"taxRank"	"taxID"	"Max"	"X1..BL60N.cladeReads"	"X2..BL63DP.cladeReads"	"X3..BL67DP.cladeReads"	"X4..BL610DP.cladeReads"	"X6..BL613DP.cladeReads"	"X7..BL616DP.cladeReads"	"lineage"
"Lachnoclostridium sp. YL32"	"S"	1834196	189610	189614	94710	107981	128646	93419	57670	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium"
"[Clostridium] saccharolyticum"	"S"	84030	21902	21902	9341	11076	13650	10528	6317	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium"
"Lachnoclostridium phytofermentans"	"S"	66219	7803	7803	4135	5069	6493	4547	3260	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoclostridium"
"Roseburia hominis"	"S"	301301	53208	53208	27973	33704	40048	29459	17400	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Roseburia"
"Blautia sp. YL58"	"S"	1796616	34604	34604	16708	22430	26936	19176	11337	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Blautia"
"[Eubacterium] rectale"	"S"	39491	26293	26293	14598	15820	19796	13617	8977	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>unclassified&nbsp;Lachnospiraceae"
"Butyrivibrio proteoclasticus"	"S"	43305	6117	6117	3711	3777	4512	3711	2678	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Butyrivibrio"
"Butyrivibrio hungatei"	"S"	185008	5552	5552	3076	3188	3927	2890	2219	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Butyrivibrio"
"[Clostridium] propionicum"	"S"	28446	3612	3612	2107	2122	2727	2360	1709	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Tyzzerella"
"Cellulosilyticum lentocellum"	"S"	29360	2440	2440	1811	1660	2147	1865	1922	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Cellulosilyticum"
"Ruminiclostridium sp. KB18"	"S"	1834198	165240	165239	78507	104984	117684	128960	57561	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae>Ruminiclostridium"
